Stock Name,Stock,ISIN,Allocated Quantity,Blocked for Trade,Block For Margin,Current Market Price,% Change,Market Value,
ADANI ENTERPRISES LIMITED,ADAENT,INE423A01024,60.00,0,0,3026.00,-0.79,181560.00,
AXIS BANK LIMITED,AXIBAN,INE238A01034,600.00,0,0,1256.00,0.17,753600.00,
BANDHAN BANK LIMITED,BANBAN,INE545U01014,600.00,0,0,174.66,2.46,104796.00,
HDFC BANK LIMITED,HDFBAN,INE040A01034,880.00,0,0,734.30,-0.10,646184.00,
HDFC LIFE INSURANCE COM LTD,HDFSTA,INE795G01014,300.00,0,0,542.50,-0.46,162750.00,
ICICI BANK LIMITED,ICIBAN,INE090A01021,700.00,0,0,1457.50,0.51,1020250.00,
INDUSIND BANK LIMITED,INDBA,INE095A01012,800.00,0,0,1016.20,-0.27,812960.00,
JIO FINANCIAL SERVICES LIMITED,JIOFIN,INE758E01017,6.00,0,0,263.10,0.44,1578.60,
LARSEN AND TOUBRO LIMITED,LARTOU,INE018A01030,450.00,0,0,4061.80,0.12,1827810.00,
MAHINDRA & MAHINDRA LIMITED,MAHMAH,INE101A01026,175.00,0,0,3406.00,-1.43,596050.00,
NTPC LIMITED,NTPC,INE733E01010,800.00,0,0,345.00,-1.40,276000.00,
RELIANCE INDUSTRIES,RELIND,INE002A01018,712.00,0,0,1325.00,3.52,943400.00,
SBI LIFE INSURANCE COMPANY LTD,SBILIF,INE123W01016,175.00,0,0,1861.50,-0.98,325762.50,
SHRIRAM FINANCE LIMITED,SHRTRA,INE721A01047,700.00,0,0,1141.00,1.66,798700.00,
SIEMENS ENERGY INDIA LIMITED,SIEENE,INE1NPP01017,50.00,0,0,3252.20,-1.14,162610.00,
SIEMENS LTD,SIEMEN,INE003A01024,50.00,0,0,3952.00,-0.70,197600.00,
SOMANY CERAMICS LIMITED,SOMCER,INE355A01028,300.00,0,0,504.00,0.74,151200.00,
STATE BANK OF INDIA,STABAN,INE062A01020,550.00,0,0,1085.00,2.84,596750.00,
TATA MOTORS PAX VEHICLES LTD,TATMOT,INE155A01022,550.00,0,0,345.35,-1.27,189942.50,
10.75% INDIABULLS HOU. DEC 33,INHD19/1075INDB1233,INE148I07RW7,200.00,0,0,1083.00,0.02,216600.00,
